Feature,importance
现场温度-转换效率B**1/2,1
现场温度/转换效率C**2,6
现场温度*转换效率C**2,1
现场温度+转换效率C**2,0
现场温度-转换效率C**2,0
现场温度/转换效率C**1/2,0
现场温度*转换效率C**1/2,0
现场温度+转换效率C**1/2,1
现场温度-转换效率C**1/2,0
现场温度/电压A**2,0
现场温度*电压A**2,0
现场温度+电压A**2,0
现场温度-电压A**2,0
现场温度/电压A**1/2,0
现场温度*电压A**1/2,0
现场温度+电压A**1/2,0
现场温度-电压A**1/2,0
现场温度/电压B**2,1
现场温度*电压B**2,0
现场温度+电压B**2,0
现场温度-电压B**2,0
现场温度/电压B**1/2,0
现场温度*电压B**1/2,0
现场温度+电压B**1/2,0
现场温度-电压B**1/2,0
现场温度/电压C**2,0
现场温度*电压C**2,0
现场温度+电压C**2,0
现场温度-电压C**2,0
现场温度/电压C**1/2,0
现场温度*电压C**1/2,0
现场温度+电压C**1/2,0
现场温度-电压C**1/2,0
现场温度/电流A**2,0
现场温度*电流A**2,1
现场温度+电流A**2,3
现场温度-电流A**2,14
现场温度/电流A**1/2,0
现场温度*电流A**1/2,0
现场温度+电流A**1/2,0
现场温度-电流A**1/2,0
现场温度/电流B**2,2
现场温度*电流B**2,3
现场温度+电流B**2,2
现场温度-电流B**2,7
现场温度/电流B**1/2,0
现场温度*电流B**1/2,1
现场温度+电流B**1/2,0
现场温度-电流B**1/2,0
现场温度/电流C**2,1
现场温度*电流C**2,1
现场温度+电流C**2,3
现场温度-电流C**2,1
现场温度/电流C**1/2,0
现场温度*电流C**1/2,0
现场温度+电流C**1/2,0
现场温度-电流C**1/2,0
现场温度/功率A**2,0
现场温度*功率A**2,0
现场温度+功率A**2,0
现场温度-功率A**2,0
现场温度/功率A**1/2,0
现场温度*功率A**1/2,1
现场温度+功率A**1/2,2
现场温度-功率A**1/2,2
现场温度/功率B**2,0
现场温度*功率B**2,0
现场温度+功率B**2,0
现场温度-功率B**2,0
现场温度/功率B**1/2,0
现场温度*功率B**1/2,2
现场温度+功率B**1/2,3
现场温度-功率B**1/2,2
现场温度/功率C**2,0
现场温度*功率C**2,0
现场温度+功率C**2,0
现场温度-功率C**2,0
现场温度/功率C**1/2,0
现场温度*功率C**1/2,0
现场温度+功率C**1/2,2
现场温度-功率C**1/2,3
现场温度/平均功率**2,1
现场温度*平均功率**2,0
现场温度+平均功率**2,0
现场温度-平均功率**2,0
现场温度/平均功率**1/2,1
现场温度*平均功率**1/2,0
现场温度+平均功率**1/2,3
现场温度-平均功率**1/2,2
现场温度/风速**2,10
现场温度*风速**2,14
现场温度+风速**2,6
现场温度-风速**2,25
现场温度/风速**1/2,10
现场温度*风速**1/2,1
现场温度+风速**1/2,0
现场温度-风速**1/2,2
现场温度/风向**2,1
现场温度*风向**2,15
现场温度+风向**2,0
现场温度-风向**2,0
现场温度/风向**1/2,8
现场温度*风向**1/2,3
现场温度+风向**1/2,6
现场温度-风向**1/2,9
光照强度/转换效率,0
光照强度*转换效率,1
光照强度+转换效率,1
光照强度-转换效率,0
光照强度/转换效率A,0
光照强度*转换效率A,1
光照强度+转换效率A,0
光照强度-转换效率A,0
光照强度/转换效率B,2
光照强度*转换效率B,1
光照强度+转换效率B,0
光照强度-转换效率B,0
光照强度/转换效率C,1
光照强度*转换效率C,2
光照强度+转换效率C,0
光照强度-转换效率C,0
光照强度/电压A,0
光照强度*电压A,1
光照强度+电压A,2
光照强度-电压A,0
